College Id,Major,College ,
1111,Chemical Biology,College of Chemistry,2
1111,Chemical Engineering,College of Chemistry,2
1111,Chemistry,College of Chemistry,2
1112,Civil Engineering,College of Engineering,2
1112,EECS/MSE,College of Engineering,2
1112,Electrical Engineering & Computer  Science,College of Engineering,2
1112,Energy Engineering,College of Engineering,2
1112,Industrial Eng & Ops  Rsch,College of Engineering,2
1112,Mechanical Engineering,College of Engineering,2
1112,Nuclear Engineering,College of Engineering,2
1113,Architecture,College of Environmental Design,2
1113,Sustainable Environmental Design,College of Environmental Design,2.5
1113,Urban Studies,College of Environmental Design,2.5
1114,Afr Amer Stds-Social Science,College of Letters & Science,2
1114,African American Studies,College of Letters & Science,2
1114,American Studies,College of Letters & Science,2
1114,Anthropology,College of Letters & Science,2
1114,Applied Mathematics,College of Letters & Science,2
1114,Art,College of Letters & Science,2
1114,Asian American & Asian Diaspora Studies,College of Letters & Science,2
1114,Asian Studies,College of Letters & Science,2
1114,Asian Studies - China,College of Letters & Science,2
1114,Asian Studies - Japan,College of Letters & Science,2
1114,Atmospheric Science,College of Letters & Science,2
1114,Chicano Studies,College of Letters & Science,2
1114,Chinese Language,College of Letters & Science,2
1114,Classical Civilizations,College of Letters & Science,2
1114,Cognitive Science,College of Letters & Science,2
1114,Comparative Literature,College of Letters & Science,2
1114,Dance & Performance Studies,College of Letters & Science,2
1114,Development Studies,College of Letters & Science,2
1114,Dutch Studies,College of Letters & Science,2
1114,Economics,College of Letters & Science,2
1114,English,College of Letters & Science,2
1114,Environmental Earth Science,College of Letters & Science,2
1114,Ethnic Studies,College of Letters & Science,2
1114,Film,College of Letters & Science,2
1114,French,College of Letters & Science,2
1114,Gender & Womens Studies,College of Letters & Science,2
1114,Geography,College of Letters & Science,2
1114,Geology,College of Letters & Science,2
1114,Geophysics,College of Letters & Science,2
1114,German,College of Letters & Science,2
1114,History,College of Letters & Science,2
1114,History of Art,College of Letters & Science,2
1114,Integrative Biology,College of Letters & Science,2
1114,Interdisciplinary Studies,College of Letters & Science,2
1114,Japanese Language,College of Letters & Science,2
1114,L&S Chemistry,College of Letters & Science,2
1114,L&S Computer Science,College of Letters & Science,3.3
1114,L&S Enviornmental Science,College of Letters & Science,2
1114,L&S Legal Studies,College of Letters & Science,2
1114,L&S Public Health,College of Letters & Science,2
1114,L&S Social Welfare,College of Letters & Science,2
1114,Latin American Studies,College of Letters & Science,2
1114,Linguistics,College of Letters & Science,2
1114,Biochemistry & Molecular Biology,College of Letters & Science,2
1114,Cell & Developmental Biology,College of Letters & Science,2
1114,Genetics,College of Letters & Science,2
1114,Immunology,College of Letters & Science,2
1114,Neurobiology,College of Letters & Science,2
1114,Marine Science,College of Letters & Science,2
1114,Mathematics,College of Letters & Science,2
1114,Media Studies,College of Letters & Science,2
1114,Music,College of Letters & Science,2
1114,Native American Studies,College of Letters & Science,2
1114,Near Eastern Civilizations,College of Letters & Science,2
1114,Peace & Conflict Studies,College of Letters & Science,2
1114,Philosophy,College of Letters & Science,2
1114,Physics,College of Letters & Science,2
1114,Planetary Science,College of Letters & Science,2
1114,Political Economy,College of Letters & Science,2
1114,Political Science,College of Letters & Science,2
1114,Psychology,College of Letters & Science,2
1114,Religious Studies,College of Letters & Science,2
1114,Rhetoric,College of Letters & Science,2
1114,Scandinavian,College of Letters & Science,2
1114,Social Sciences Field Major,College of Letters & Science,2
1114,Sociology,College of Letters & Science,2
1114,South & SE Asian Studies,College of Letters & Science,2
1114,Spanish-Hisp Lang/Biling Iss,College of Letters & Science,2
1114,Spanish-Latin-Amer Lang & Lit,College of Letters & Science,2
1114,Spanish-Spanish Lang & Lit,College of Letters & Science,2
1114,Statistics,College of Letters & Science,2
1114,Theater & Perf Studies,College of Letters & Science,2
1115,Conservative & Resource Studies,College of Natural Resources,2
1115,L&S Environmental Economics & Policy,College of Natural Resources,2
1115,Environmental Sciences,College of Natural Resources,2
1115,Microbial Biology,College of Natural Resources,2
1115,Molecular Environmental Biology,College of Natural Resources,2
1115,Molecular Toxicology,College of Natural Resources,2
1115,Physiology & Metabology,College of Natural Resources,2
1115,Nutritional Science -Dietetics,College of Natural Resources,2
1115,Society and Environment,College of Natural Resources,2
1121,Business Administration,Haas School of Business,3